7c01c0,AM212
1591581760,-33.1022,151.4859,3604
1591581770,-33.1096,151.4792,3581
1591581775,-33.1139,151.4753,3566
1591581785,-33.1216,151.4682,3543
1591581795,-33.1291,151.4615,3512
1591581805,-33.1371,151.4542,3489
1591581815,-33.1447,151.4473,3459
1591581825,-33.1523,151.4404,3436
1591581835,-33.1603,151.4331,3413
1591581845,-33.1683,151.4258,3390
1591581855,-33.176,151.4189,3360
1591581860,-33.1801,151.4158,3352
1591581870,-33.1892,151.4107,3322
1591581880,-33.1983,151.4059,3299
1591582610,-33.8489,151.1507,548
1591582620,-33.8553,151.1525,502
1591582630,-33.8627,151.1543,449
1591582640,-33.8691,151.1559,419
1591582650,-33.8755,151.1576,373
1591582655,-33.879,151.1585,350
1591582665,-33.8849,151.16,312
1591582675,-33.891,151.1617,274
1591582685,-33.8967,151.1631,236
